1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour asthme,Taux d'hospitalisations après passages aux urgences pour asthme,Taux d'actes médicaux SOS médecins pour asthme
2022-09-19,2022-S38,01,Guadeloupe,00-14 ans,8659.7938144,11320.754717,
2022-09-19,2022-S38,01,Guadeloupe,15-64 ans,1574.8031496,2352.9411765,
2022-09-19,2022-S38,01,Guadeloupe,65 ans ou plus,709.21985816,869.56521739,
2022-09-19,2022-S38,01,Guadeloupe,Tous âges,3851.6405136,3557.312253,
2022-09-26,2022-S39,01,Guadeloupe,Tous âges,4356.3068921,4296.875,
2022-10-03,2022-S40,01,Guadeloupe,15-64 ans,1483.6795252,1086.9565217,
2022-10-03,2022-S40,01,Guadeloupe,65 ans ou plus,336.7003367,0.0,
2022-10-03,2022-S40,01,Guadeloupe,Tous âges,3404.7919294,3112.8404669,
2022-10-10,2022-S41,01,Guadeloupe,65 ans ou plus,318.47133758,0.0,
2022-10-17,2022-S42,01,Guadeloupe,15-64 ans,1432.6647564,3658.5365854,
2022-11-14,2022-S46,01,Guadeloupe,65 ans ou plus,335.5704698,0.0,
2022-11-14,2022-S46,01,Guadeloupe,Tous âges,2700.8777853,1304.3478261,
2022-11-21,2022-S47,01,Guadeloupe,00-14 ans,12171.052632,10958.90411,
2022-11-21,2022-S47,01,Guadeloupe,65 ans ou plus,1094.8905109,1098.9010989,
2022-11-28,2022-S48,01,Guadeloupe,00-14 ans,18779.342723,37037.037037,
2022-11-28,2022-S48,01,Guadeloupe,15-64 ans,1567.3981191,1111.1111111,
2022-12-05,2022-S49,01,Guadeloupe,65 ans ou plus,653.59477124,0.0,
2022-12-12,2022-S50,01,Guadeloupe,65 ans ou plus,621.11801242,0.0,
2022-12-19,2022-S51,01,Guadeloupe,00-14 ans,9217.3913043,9090.9090909,
2022-12-19,2022-S51,01,Guadeloupe,15-64 ans,929.36802974,0.0,
2023-01-09,2023-S02,01,Guadeloupe,00-14 ans,7676.7676768,14814.814815,
2023-01-09,2023-S02,01,Guadeloupe,15-64 ans,2040.8163265,952.38095238,
2023-01-16,2023-S03,01,Guadeloupe,65 ans ou plus,1156.0693642,800.0,
2023-01-23,2023-S04,01,Guadeloupe,Tous âges,4974.3964887,3738.317757,
2023-01-30,2023-S05,01,Guadeloupe,00-14 ans,10018.903592,17241.37931,
2023-01-30,2023-S05,01,Guadeloupe,15-64 ans,2620.0873362,3448.2758621,
2023-02-06,2023-S06,01,Guadeloupe,15-64 ans,2090.0321543,3061.2244898,
2023-02-06,2023-S06,01,Guadeloupe,65 ans ou plus,320.51282051,0.0,
2023-02-06,2023-S06,01,Guadeloupe,Tous âges,3057.0652174,3017.2413793,
2023-02-13,2023-S07,01,Guadeloupe,15-64 ans,2166.6666667,2752.293578,
2023-02-13,2023-S07,01,Guadeloupe,65 ans ou plus,623.0529595,934.57943925,
2023-02-13,2023-S07,01,Guadeloupe,Tous âges,3393.3518006,2713.1782946,
2023-02-20,2023-S08,01,Guadeloupe,00-14 ans,2998.2363316,4545.4545455,
2023-02-20,2023-S08,01,Guadeloupe,15-64 ans,1981.7073171,1111.1111111,
2023-02-27,2023-S09,01,Guadeloupe,00-14 ans,3290.6764168,10810.810811,
2023-02-27,2023-S09,01,Guadeloupe,15-64 ans,1428.5714286,0.0,
2023-02-27,2023-S09,01,Guadeloupe,Tous âges,2016.9160703,1945.5252918,
2023-03-06,2023-S10,01,Guadeloupe,00-14 ans,7968.75,14925.373134,
2023-03-06,2023-S10,01,Guadeloupe,65 ans ou plus,643.08681672,1010.1010101,
2023-03-27,2023-S13,01,Guadeloupe,65 ans ou plus,611.62079511,0.0,
2023-04-10,2023-S15,01,Guadeloupe,Tous âges,2772.9636049,2906.9767442,
2023-04-17,2023-S16,01,Guadeloupe,00-14 ans,4968.9440994,0.0,
2023-04-17,2023-S16,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2023-04-24,2023-S17,01,Guadeloupe,00-14 ans,6196.5811966,14285.714286,
2023-04-24,2023-S17,01,Guadeloupe,15-64 ans,720.4610951,1298.7012987,
2023-04-24,2023-S17,01,Guadeloupe,65 ans ou plus,677.96610169,952.38095238,
2023-05-15,2023-S20,01,Guadeloupe,00-14 ans,5613.3056133,5000.0,
2023-05-15,2023-S20,01,Guadeloupe,Tous âges,2638.7009472,1255.2301255,
2023-05-29,2023-S22,01,Guadeloupe,15-64 ans,1132.6860841,0.0,
2023-06-05,2023-S23,01,Guadeloupe,Tous âges,2292.2636103,1260.5042017,
2023-06-12,2023-S24,01,Guadeloupe,15-64 ans,1337.7926421,1176.4705882,
2023-06-12,2023-S24,01,Guadeloupe,65 ans ou plus,657.89473684,990.0990099,
2023-06-19,2023-S25,01,Guadeloupe,00-14 ans,5462.1848739,5882.3529412,
2023-06-19,2023-S25,01,Guadeloupe,Tous âges,2428.5714286,1265.8227848,
2023-06-26,2023-S26,01,Guadeloupe,00-14 ans,5128.2051282,13793.103448,
2023-07-03,2023-S27,01,Guadeloupe,00-14 ans,4523.8095238,4000.0,
2023-07-03,2023-S27,01,Guadeloupe,Tous âges,1888.1626725,826.44628099,
2023-07-10,2023-S28,01,Guadeloupe,00-14 ans,3703.7037037,6382.9787234,
2023-07-10,2023-S28,01,Guadeloupe,15-64 ans,1331.3609467,1851.8518519,
2023-07-10,2023-S28,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2023-07-10,2023-S28,01,Guadeloupe,Tous âges,1826.7929635,1845.0184502,
2023-07-17,2023-S29,01,Guadeloupe,65 ans ou plus,626.95924765,1030.9278351,
2023-07-17,2023-S29,01,Guadeloupe,Tous âges,1793.1034483,2293.5779817,
2023-07-24,2023-S30,01,Guadeloupe,00-14 ans,2922.7557411,4761.9047619,
2023-08-07,2023-S32,01,Guadeloupe,00-14 ans,2991.4529915,2173.9130435,
2023-08-07,2023-S32,01,Guadeloupe,15-64 ans,1033.9734121,0.0,
2023-08-07,2023-S32,01,Guadeloupe,65 ans ou plus,302.11480363,0.0,
2023-08-07,2023-S32,01,Guadeloupe,Tous âges,1490.5149051,387.59689922,
